timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1780738519.6838567;render_scene;41.358277559280396;318378274.0;43198498.0;276837365.0;2599663.0
1780738561.0424562;render_scene;46.19279623031616;322833463.0;45728399.0;278478962.0;2732293.0
1780738607.2355945;render_scene;41.2688102722168;320055028.0;43194713.0;277505454.0;2776421.0
1780738648.5047505;render_scene;41.23483371734619;322433867.0;43153332.0;277877524.0;2846673.0
1780738689.7398891;render_scene;41.3997757434845;323102994.0;43198193.0;278271016.0;2930046.0
1780738731.1399968;render_scene;42.8091676235199;326831378.0;44081064.0;281071302.0;2858879.0
1780738773.9495332;render_scene;41.10408282279968;322321013.0;42940320.0;277707052.0;2860955.0
1780738815.0539515;render_scene;41.82556772232056;329698741.0;43846263.0;284209233.0;2856133.0
1780738856.879827;render_scene;41.02095627784729;322779569.0;42700330.0;278207174.0;2868950.0
1780738897.9011257;render_scene;41.58688759803772;327356340.0;43390209.0;282018626.0;3011162.0
1780738939.4883332;render_scene;40.98582363128662;323973414.0;42810742.0;279174822.0;3034721.0
1780738980.4744294;render_scene;41.432371854782104;325078697.0;43094067.0;279779557.0;3089775.0
1780739021.9070625;render_scene;41.27228593826294;324349755.0;42982739.0;279256854.0;3026542.0
1780739063.1797962;render_scene;41.165459632873535;325972188.0;43099316.0;280729567.0;3123649.0
1780739104.3455634;render_scene;41.22831630706787;323236844.0;42817090.0;278409200.0;2971123.0
1780739145.5741916;render_scene;41.135979652404785;323250454.0;42895642.0;278494221.0;2967705.0
1780739186.7105753;render_scene;41.50716805458069;326078755.0;43195446.0;280847182.0;2998894.0
1780739228.2180722;render_scene;41.31666350364685;325057700.0;43070324.0;279849687.0;3057914.0
1780739269.5350754;render_scene;41.24827265739441;324888695.0;43102978.0;279196857.0;3081535.0
1780739310.7836564;render_scene;40.98658776283264;323980005.0;42902844.0;279145221.0;3092827.0
1780739351.7708569;render_scene;41.46282935142517;325558493.0;43180065.0;280345169.0;3033928.0
1780739393.2339826;render_scene;41.170374155044556;324308801.0;42819227.0;279400713.0;2974784.0
1780739434.40487;render_scene;41.343297719955444;323634852.0;42901929.0;278763752.0;2954033.0
1780739475.7484627;render_scene;41.83311200141907;327910659.0;43598643.0;282426463.0;2958001.0
1780739517.582045;render_scene;41.15814924240112;323156399.0;42819104.0;278088826.0;3033134.0
1780739558.7407904;render_scene;41.397833824157715;328081680.0;43171398.0;282624826.0;3079094.0
1780739600.1390758;render_scene;42.618844509124756;328379957.0;43879953.0;282457345.0;3033012.0
1780739642.7583902;render_scene;41.4983971118927;326627704.0;43540660.0;281216810.0;3116691.0
1780739684.2571447;render_scene;41.509876012802124;325976949.0;43246777.0;280451553.0;3235038.0
1780739725.7673376;render_scene;41.56853938102722;326381184.0;43166333.0;281040724.0;3095146.0
