timestamp;tag;duration;package_0;core_0
1781333865.0104036;render_scene;33.38923120498657;1189373809.0;24546369.0
1781333903.43139;render_scene;33.649635553359985;1197274295.0;27748717.0
1781333942.1146276;render_scene;33.7990140914917;1206735919.0;27559670.0
1781333980.9473395;render_scene;33.63278532028198;1204640065.0;27419313.0
1781334019.6114244;render_scene;33.88404083251953;1210937804.0;27260232.0
1781334058.5273652;render_scene;33.6640248298645;1207816780.0;25482005.0
1781334097.2248905;render_scene;33.42185926437378;1198997793.0;24824079.0
1781334135.6798682;render_scene;33.90812373161316;1215693707.0;28897386.0
1781334174.6200602;render_scene;33.48909950256348;1197183846.0;25236534.0
1781334213.141527;render_scene;33.59697127342224;1207188928.0;25437466.0
1781334251.7705932;render_scene;33.770827293395996;1202200372.0;27319983.0
1781334290.5740209;render_scene;33.39576244354248;1189042559.0;23805089.0
1781334329.0011961;render_scene;33.73501539230347;1197160792.0;25245886.0
1781334367.7692976;render_scene;33.54462504386902;1194245201.0;29194856.0
1781334406.3456705;render_scene;33.491859674453735;1188003321.0;25939378.0
1781334444.869056;render_scene;34.24374794960022;1215621339.0;25911319.0
1781334484.1450927;render_scene;33.62823128700256;1200284821.0;28169457.0
1781334522.8064713;render_scene;34.252437591552734;1214534450.0;25003193.0
1781334562.0903184;render_scene;33.4268159866333;1181281622.0;24353278.0
1781334600.5512264;render_scene;33.54664158821106;1199779842.0;26956858.0
1781334639.1297462;render_scene;33.36667060852051;1191058293.0;26797411.0
1781334677.5297987;render_scene;33.74524784088135;1204007040.0;26308973.0
1781334716.306995;render_scene;33.76404118537903;1200803852.0;22612264.0
1781334755.102436;render_scene;33.50272250175476;1195797322.0;27921042.0
1781334793.6387167;render_scene;33.5596182346344;1200729500.0;26284087.0
1781334832.2307827;render_scene;33.69367742538452;1201967931.0;27140839.0
1781334870.9566007;render_scene;33.6648383140564;1200135598.0;26133704.0
1781334909.653671;render_scene;33.298996686935425;1190933345.0;26289000.0
1781334947.986286;render_scene;33.514872312545776;1196451263.0;25956360.0
1781334986.5339415;render_scene;33.545533418655396;1194349643.0;26837647.0
1781335025.1109257;render_scene;33.468724489212036;1194824013.0;29770662.0
1781335063.6119637;render_scene;33.606096029281616;1197622224.0;30822564.0
1781335102.249166;render_scene;33.770440340042114;1208027447.0;27038091.0
1781335141.051102;render_scene;33.75414681434631;1197774102.0;25358277.0
1781335179.8374147;render_scene;33.51638889312744;1189774073.0;24538709.0
1781335218.386716;render_scene;33.48962426185608;1194444547.0;25503808.0
1781335256.907359;render_scene;33.869263648986816;1202096007.0;25667054.0
1781335295.8087175;render_scene;33.504162073135376;1197593646.0;26789432.0
1781335334.3439832;render_scene;33.559186935424805;1201470855.0;27142410.0
1781335372.9365494;render_scene;33.95331788063049;1210542149.0;30133665.0
1781335411.9233117;render_scene;33.4391713142395;1186675646.0;23283128.0
1781335450.3945029;render_scene;33.57971954345703;1182142754.0;23536624.0
1781335489.0059025;render_scene;33.773091077804565;1201784286.0;25191355.0
1781335527.812414;render_scene;33.5140495300293;1206264828.0;26985619.0
1781335566.3580153;render_scene;33.60976219177246;1211567105.0;29516723.0
1781335604.999466;render_scene;33.15877318382263;1197954009.0;27162902.0
1781335643.1902833;render_scene;33.29767990112305;-64340378499.0;25656861.0
1781335681.5193772;render_scene;33.42540168762207;1190409111.0;26017804.0
1781335719.9769351;render_scene;34.12971520423889;1209996751.0;27101275.0
1781335759.13926;render_scene;33.73241639137268;1209719010.0;27601417.0
1781335797.9054067;render_scene;33.226664781570435;1192702510.0;27773573.0
