timestamp;tag;duration;package_0;core_0
1781101240.3679793;render_scene;26.709805250167847;980966070.0;18333417.0
1781101274.1102753;render_scene;26.693806171417236;981936356.0;16603695.0
1781101307.8355258;render_scene;26.68673801422119;973655458.0;17511225.0
1781101341.5543344;render_scene;27.087435245513916;993542522.0;17711471.0
1781101375.6735263;render_scene;26.719502687454224;974111931.0;15725566.0
1781101409.4249918;render_scene;26.740652084350586;975451874.0;15027665.0
1781101443.1980646;render_scene;27.274669408798218;993575784.0;14421282.0
1781101477.5053844;render_scene;26.82070517539978;978463452.0;13906309.0
1781101511.3576598;render_scene;26.819271564483643;984418665.0;14768158.0
1781101545.208808;render_scene;26.84766960144043;984084607.0;17073885.0
1781101579.0882983;render_scene;27.192660570144653;1004973419.0;19248898.0
1781101613.3124795;render_scene;27.15278434753418;1003195129.0;17185558.0
1781101647.4966338;render_scene;26.810932636260986;988700869.0;16392448.0
1781101681.3392086;render_scene;26.725044012069702;985809402.0;17595023.0
1781101715.0959578;render_scene;26.686349153518677;982162815.0;15676038.0
1781101748.8132498;render_scene;26.945181369781494;991190791.0;16588284.0
1781101782.7909398;render_scene;27.13865828514099;997143181.0;15824438.0
1781101816.9613276;render_scene;27.152358531951904;996161146.0;17239419.0
1781101851.1467628;render_scene;26.819454193115234;981526191.0;15720317.0
1781101884.9977653;render_scene;26.699474096298218;976269397.0;14610267.0
1781101918.7297175;render_scene;26.647501945495605;974597288.0;15270588.0
1781101952.4087613;render_scene;27.17448592185974;995051935.0;15188835.0
1781101986.6149125;render_scene;26.65161681175232;984148934.0;16444569.0
1781102020.2977335;render_scene;27.213542222976685;995921306.0;14854014.0
1781102054.5433233;render_scene;26.837424278259277;1000158513.0;17024877.0
1781102088.4119616;render_scene;27.016268491744995;990924539.0;16560957.0
1781102122.4604874;render_scene;26.81336760520935;984023086.0;16826690.0
1781102156.3053832;render_scene;26.707841873168945;977951989.0;15550389.0
1781102190.0446365;render_scene;27.107979774475098;992594299.0;16921961.0
1781102224.185198;render_scene;26.63226819038391;978291952.0;14961903.0
1781102257.8489957;render_scene;26.920339584350586;981695097.0;15560932.0
1781102291.8009846;render_scene;26.806211709976196;974551026.0;16301021.0
1781102325.6422215;render_scene;27.024869441986084;984477195.0;14116092.0
1781102359.698801;render_scene;26.72823977470398;973941286.0;16580564.0
1781102393.4593058;render_scene;26.752728939056396;972938759.0;13988855.0
1781102427.243362;render_scene;26.784711599349976;974728309.0;15022355.0
1781102461.0596108;render_scene;26.700149059295654;976298602.0;14857691.0
1781102494.7909255;render_scene;27.26539635658264;994101728.0;16637308.0
1781102529.088537;render_scene;26.7892746925354;980501448.0;15333618.0
1781102562.9092865;render_scene;26.63802170753479;970953282.0;15756891.0
1781102596.5790005;render_scene;26.91774892807007;982104911.0;14495528.0
1781102630.5286748;render_scene;27.059181213378906;987248139.0;16719579.0
1781102664.6204956;render_scene;26.720630884170532;973024418.0;16450810.0
1781102698.3734639;render_scene;27.090170860290527;-64545351618.0;15602953.0
1781102732.4951284;render_scene;26.764466047286987;978276481.0;16345346.0
1781102766.2918699;render_scene;26.814574718475342;984155266.0;14183120.0
1781102800.1382506;render_scene;26.690388441085815;982089547.0;16610622.0
1781102833.8598933;render_scene;27.187889337539673;993416018.0;14968372.0
1781102868.0794008;render_scene;26.750505924224854;975762496.0;15000017.0
1781102901.861139;render_scene;26.690152645111084;976883075.0;14936850.0
